kepid,kepoi_name,kepler_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,planet_type
9641103,K07212.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.089057762,0.44,1404.0,917.78,5096.0,0.737,Terrestrial (Earth-size)
9644411,K07213.01,Unconfirmed Candidate,FALSE POSITIVE,0.016,0.379412331,1.59,1643.0,1724.34,4331.0,0.666,Super-Earth
9644683,K07214.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.585940879,26.57,1873.0,2897.54,5459.0,0.797,Gas Giant (Jupiter-size)
9651602,K07215.01,Unconfirmed Candidate,CANDIDATE,0.971,3.90735046,0.83,1007.0,243.14,5497.0,0.809,Terrestrial (Earth-size)
9652166,K07216.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.646523404,0.85,3163.0,23676.16,7257.0,1.631,Terrestrial (Earth-size)
10556578,K07343.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.626431697,34.05,1709.0,2003.98,5134.0,0.721,Gas Giant (Jupiter-size)
10583181,K07344.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.696354974,80.71,1815.0,2560.78,6472.0,1.579,Gas Giant (Jupiter-size)
10586619,K07345.01,Unconfirmed Candidate,CANDIDATE,0.902,377.501257,2.16,242.0,0.81,5751.0,0.94,Neptunian (Ice Giant)
10592163,K07346.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,14.76288917,53.72,759.0,78.43,5691.0,1.031,Gas Giant (Jupiter-size)
10601538,K07348.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.463775066,1.2,2308.0,6722.29,6781.0,1.651,Terrestrial (Earth-size)
10601579,K07349.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,8.098754149,123.02,1176.0,452.03,6328.0,1.45,Gas Giant (Jupiter-size)
10613718,K07350.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.587938916,29.98,1800.0,2476.75,5237.0,0.74,Gas Giant (Jupiter-size)
8557246,K07895.01,Unconfirmed Candidate,FALSE POSITIVE,0.041,246.87131,2.02,302.0,1.97,6168.0,0.96,Neptunian (Ice Giant)
11724091,K07475.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.559090282,129.87,2905.0,16893.61,7279.0,2.624,Gas Giant (Jupiter-size)
11757422,K07476.01,Unconfirmed Candidate,FALSE POSITIVE,0.001,1.81993557,0.66,907.0,159.62,4205.0,0.578,Terrestrial (Earth-size)
11763910,K07477.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,0.612888148,0.93,2796.0,14401.76,6720.0,1.368,Terrestrial (Earth-size)
11768970,K07478.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,15.54135882,149.19,1174.0,448.22,5092.0,3.54,Gas Giant (Jupiter-size)
11773625,K07479.01,Unconfirmed Candidate,CANDIDATE,0.875,7.1969168,1.1,1132.0,388.54,5530.0,1.575,Terrestrial (Earth-size)
11811454,K07481.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.274628199,104.26,2092.0,4536.51,6389.0,1.947,Gas Giant (Jupiter-size)
8560280,K07896.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,85.338393,11.4,741.0,71.36,4850.0,4.696,Gas Giant (Jupiter-size)
2860594,K06296.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,5.499941793,59.94,1878.0,2942.15,7079.0,2.634,Gas Giant (Jupiter-size)
2860788,K06297.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,2.629870555,34.05,1291.0,659.45,5566.0,0.967,Gas Giant (Jupiter-size)
2970670,K06299.01,Unconfirmed Candidate,CANDIDATE,0.894,0.947554749,0.67,1633.0,1680.03,5508.0,0.84,Terrestrial (Earth-size)
2973509,K06300.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,6.62761199,82.03,1204.0,496.41,6316.0,1.333,Gas Giant (Jupiter-size)
2994092,K06301.01,Unconfirmed Candidate,CANDIDATE,0.789,50.271927,2.94,589.0,28.51,6520.0,1.215,Neptunian (Ice Giant)
2998124,K06302.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,28.59788033,74.25,1014.0,250.21,6590.0,2.474,Gas Giant (Jupiter-size)
3098194,K06303.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,30.47651885,71.42,592.0,28.96,5527.0,1.073,Gas Giant (Jupiter-size)
4578594,K06429.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,252.1638623,50.74,242.0,0.81,5432.0,0.745,Gas Giant (Jupiter-size)
4633434,K06431.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,22.27119851,39.79,515.0,16.62,5068.0,0.73,Gas Giant (Jupiter-size)
4661634,K06432.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,73.89416352,39.18,392.0,5.61,5442.0,0.841,Gas Giant (Jupiter-size)
4665989,K06433.01,Unconfirmed Candidate,FALSE POSITIVE,0.0,1.124033822,98.04,2547.0,9953.28,7141.0,1.563,Gas Giant (Jupiter-size)
